avenida,total_negocios,otro,bar_antro,gym,restaurante,cafeteria,lavanderia,escolaridad,internet,poblacion_joven,prod_bruta,nse_score,flujo_comercial
PABLO VALDEZ,449,364,33,1,48,3,0,0.0,52.870758,31.1,0.0,26.435379,22.161895360315896
AMADO NERVO,70,64,1,0,4,1,0,0.0,52.870758,31.1,0.0,26.435379,3.4550839091806513
CAMINO A LOS DESMONTES,1,1,0,0,0,0,0,0.0,52.870758,31.1,0.0,26.435379,0.04935834155972359
JESUS GARCIA,360,305,20,0,33,2,0,0.0,52.870758,31.1,0.0,26.435379,17.769002961500494
PASEO DEL HOSPICIO,135,129,1,0,4,1,0,0.0,52.870758,31.1,0.0,26.435379,6.663376110562686
COYUL,67,57,7,0,3,0,0,0.0,52.870758,31.1,0.0,26.435379,3.3070088845014807
PENINSULA,54,42,3,0,7,2,0,0.0,52.870758,31.1,0.0,26.435379,2.665350444225074
NINOS HEROES,553,525,7,0,20,1,0,0.0,52.870758,31.1,0.0,26.435379,27.295162882527148
MEXICO,683,615,6,1,52,9,0,0.0,52.870758,31.1,0.0,26.435379,33.71174728529122
JESUS REYES HEROLES,236,198,16,1,20,1,0,0.0,52.870758,31.1,0.0,26.435379,11.648568608094768
JUAN MANUEL,285,257,9,0,15,4,0,0.0,52.870758,31.1,0.0,26.435379,14.067127344521225
AVENIDA CHAPALITA,1,1,0,0,0,0,0,0.0,52.870758,31.1,0.0,26.435379,0.04935834155972359
VIDRIO,192,156,7,1,22,6,0,0.0,52.870758,31.1,0.0,26.435379,9.47680157946693
NEBULOSA,22,20,1,0,1,0,0,0.0,52.870758,31.1,0.0,26.435379,1.085883514313919
CORDOBA,19,16,0,0,2,1,0,0.0,52.870758,31.1,0.0,26.435379,0.9378084896347483
GRANADILLA,29,27,2,0,0,0,0,0.0,52.870758,31.1,0.0,26.435379,1.4313919052319843
HIDALGO,1176,1062,14,1,84,15,0,0.0,52.870758,31.1,0.0,26.435379,58.045409674234946
HUMBOLDT,37,24,4,0,9,0,0,0.0,52.870758,31.1,0.0,26.435379,1.826258637709773
GREGORIO ALMADA,29,25,3,0,1,0,0,0.0,52.870758,31.1,0.0,26.435379,1.4313919052319843
CRISTOBAL COLON,375,353,4,0,17,1,0,0.0,52.870758,31.1,0.0,26.435379,18.509378084896348
RICARDO FLORES MAGON ORIENTE,22,18,0,0,4,0,0,0.0,52.870758,31.1,0.0,26.435379,1.085883514313919
HUMBOLT,1,1,0,0,0,0,0,0.0,52.870758,31.1,0.0,26.435379,0.04935834155972359
VALLARTA,231,209,2,0,15,5,0,0.0,52.870758,31.1,0.0,26.435379,11.40177690029615
VENTURA ANAYA,88,70,10,0,6,2,0,0.0,52.870758,31.1,0.0,26.435379,4.343534057255676
BRASILIA,7,7,0,0,0,0,0,0.0,52.870758,31.1,0.0,26.435379,0.3455083909180652
