respuesta_id,forma,avenida,calidad_percibida,saturacion_percibida
0,1,NIÑOS HEROES,3.0,3.0
0,1,MÉXICO,3.0,3.0
0,1,RUBEN DARIO,3.0,2.0
0,1,GUADALUPE,4.0,4.0
0,1,PATRIA,4.0,4.0
0,1,PABLO NERUDA,3.0,2.0
0,1,FEDERALISMO,3.0,4.0
0,1,LOPEZ MATEOS,5.0,4.0
0,1,JUAREZ,3.0,3.0
0,1,AMERICAS,3.0,4.0
0,1,TERRANOVA,3.0,3.0
0,1,VALLARTA,5.0,4.0
0,1,ACUEDUCTO,4.0,4.0
0,1,CHAPULTEPEC,4.0,5.0
0,1,MARIANO OTERO,4.0,4.0
1,1,NIÑOS HEROES,,
1,1,MÉXICO,,
1,1,RUBEN DARIO,,
1,1,GUADALUPE,4.0,3.0
1,1,PATRIA,5.0,4.0
1,1,PABLO NERUDA,,
1,1,FEDERALISMO,,
1,1,LOPEZ MATEOS,3.0,3.0
1,1,JUAREZ,,
1,1,AMERICAS,4.0,5.0
1,1,TERRANOVA,,
1,1,VALLARTA,4.0,3.0
1,1,ACUEDUCTO,4.0,4.0
1,1,CHAPULTEPEC,3.0,4.0
1,1,MARIANO OTERO,4.0,3.0
2,1,NIÑOS HEROES,4.0,4.0
2,1,MÉXICO,4.0,3.0
2,1,RUBEN DARIO,4.0,4.0
2,1,GUADALUPE,4.0,4.0
2,1,PATRIA,5.0,3.0
2,1,PABLO NERUDA,4.0,4.0
2,1,FEDERALISMO,4.0,4.0
2,1,LOPEZ MATEOS,3.0,3.0
2,1,JUAREZ,4.0,4.0
2,1,AMERICAS,4.0,4.0
2,1,TERRANOVA,4.0,4.0
2,1,VALLARTA,4.0,4.0
2,1,ACUEDUCTO,4.0,4.0
2,1,CHAPULTEPEC,5.0,4.0
2,1,MARIANO OTERO,4.0,3.0
3,1,NIÑOS HEROES,3.0,3.0
3,1,MÉXICO,,
3,1,RUBEN DARIO,,
3,1,GUADALUPE,4.0,4.0
3,1,PATRIA,4.0,3.0
3,1,PABLO NERUDA,,
3,1,FEDERALISMO,5.0,5.0
3,1,LOPEZ MATEOS,5.0,5.0
3,1,JUAREZ,3.0,4.0
3,1,AMERICAS,3.0,3.0
3,1,TERRANOVA,,
3,1,VALLARTA,4.0,4.0
3,1,ACUEDUCTO,3.0,3.0
3,1,CHAPULTEPEC,4.0,5.0
3,1,MARIANO OTERO,5.0,5.0
4,1,NIÑOS HEROES,3.0,3.0
4,1,MÉXICO,4.0,3.0
4,1,RUBEN DARIO,3.0,3.0
4,1,GUADALUPE,4.0,4.0
4,1,PATRIA,4.0,4.0
4,1,PABLO NERUDA,4.0,4.0
4,1,FEDERALISMO,3.0,3.0
4,1,LOPEZ MATEOS,4.0,4.0
4,1,JUAREZ,3.0,4.0
4,1,AMERICAS,3.0,4.0
4,1,TERRANOVA,4.0,3.0
4,1,VALLARTA,5.0,3.0
4,1,ACUEDUCTO,4.0,3.0
4,1,CHAPULTEPEC,3.0,4.0
4,1,MARIANO OTERO,4.0,3.0
5,1,NIÑOS HEROES,3.0,3.0
5,1,MÉXICO,3.0,4.0
5,1,RUBEN DARIO,3.0,3.0
5,1,GUADALUPE,4.0,3.0
5,1,PATRIA,4.0,4.0
5,1,PABLO NERUDA,3.0,4.0
5,1,FEDERALISMO,4.0,3.0
5,1,LOPEZ MATEOS,4.0,5.0
5,1,JUAREZ,3.0,4.0
5,1,AMERICAS,3.0,4.0
5,1,TERRANOVA,3.0,3.0
5,1,VALLARTA,4.0,4.0
5,1,ACUEDUCTO,4.0,4.0
5,1,CHAPULTEPEC,4.0,5.0
5,1,MARIANO OTERO,4.0,3.0
6,1,NIÑOS HEROES,4.0,4.0
6,1,MÉXICO,5.0,4.0
6,1,RUBEN DARIO,4.0,3.0
6,1,GUADALUPE,4.0,4.0
6,1,PATRIA,5.0,3.0
6,1,PABLO NERUDA,4.0,3.0
6,1,FEDERALISMO,4.0,4.0
6,1,LOPEZ MATEOS,5.0,4.0
6,1,JUAREZ,3.0,4.0
6,1,AMERICAS,5.0,4.0
6,1,TERRANOVA,4.0,3.0
6,1,VALLARTA,5.0,3.0
6,1,ACUEDUCTO,4.0,3.0
6,1,CHAPULTEPEC,5.0,4.0
6,1,MARIANO OTERO,3.0,3.0
7,1,NIÑOS HEROES,3.0,3.0
7,1,MÉXICO,4.0,3.0
7,1,RUBEN DARIO,3.0,3.0
7,1,GUADALUPE,4.0,4.0
7,1,PATRIA,3.0,3.0
7,1,PABLO NERUDA,3.0,3.0
7,1,FEDERALISMO,3.0,3.0
7,1,LOPEZ MATEOS,3.0,5.0
7,1,JUAREZ,4.0,2.0
7,1,AMERICAS,4.0,3.0
7,1,TERRANOVA,3.0,
7,1,VALLARTA,4.0,
7,1,ACUEDUCTO,3.0,2.0
7,1,CHAPULTEPEC,3.0,4.0
7,1,MARIANO OTERO,3.0,3.0
8,1,NIÑOS HEROES,4.0,4.0
8,1,MÉXICO,4.0,4.0
8,1,RUBEN DARIO,4.0,3.0
8,1,GUADALUPE,4.0,4.0
8,1,PATRIA,5.0,3.0
8,1,PABLO NERUDA,4.0,3.0
8,1,FEDERALISMO,4.0,4.0
8,1,LOPEZ MATEOS,5.0,4.0
8,1,JUAREZ,2.0,3.0
8,1,AMERICAS,5.0,4.0
8,1,TERRANOVA,3.0,3.0
8,1,VALLARTA,5.0,3.0
8,1,ACUEDUCTO,4.0,4.0
8,1,CHAPULTEPEC,5.0,4.0
8,1,MARIANO OTERO,3.0,3.0
9,1,NIÑOS HEROES,3.0,4.0
9,1,MÉXICO,4.0,3.0
9,1,RUBEN DARIO,4.0,4.0
9,1,GUADALUPE,5.0,4.0
9,1,PATRIA,4.0,3.0
9,1,PABLO NERUDA,4.0,4.0
9,1,FEDERALISMO,4.0,4.0
9,1,LOPEZ MATEOS,4.0,3.0
9,1,JUAREZ,3.0,4.0
9,1,AMERICAS,4.0,4.0
9,1,TERRANOVA,4.0,3.0
9,1,VALLARTA,5.0,4.0
9,1,ACUEDUCTO,4.0,4.0
9,1,CHAPULTEPEC,4.0,4.0
9,1,MARIANO OTERO,4.0,3.0
10,1,NIÑOS HEROES,4.0,3.0
10,1,MÉXICO,4.0,4.0
10,1,RUBEN DARIO,3.0,2.0
10,1,GUADALUPE,5.0,4.0
10,1,PATRIA,4.0,
10,1,PABLO NERUDA,4.0,2.0
10,1,FEDERALISMO,4.0,3.0
10,1,LOPEZ MATEOS,3.0,3.0
10,1,JUAREZ,4.0,3.0
10,1,AMERICAS,3.0,4.0
10,1,TERRANOVA,4.0,4.0
10,1,VALLARTA,4.0,4.0
10,1,ACUEDUCTO,3.0,2.0
10,1,CHAPULTEPEC,5.0,5.0
10,1,MARIANO OTERO,3.0,
11,1,NIÑOS HEROES,3.0,4.0
11,1,MÉXICO,4.0,3.0
11,1,RUBEN DARIO,3.0,4.0
11,1,GUADALUPE,3.0,4.0
11,1,PATRIA,5.0,3.0
11,1,PABLO NERUDA,3.0,4.0
11,1,FEDERALISMO,3.0,4.0
11,1,LOPEZ MATEOS,3.0,3.0
11,1,JUAREZ,3.0,4.0
11,1,AMERICAS,4.0,4.0
11,1,TERRANOVA,3.0,4.0
11,1,VALLARTA,4.0,4.0
11,1,ACUEDUCTO,3.0,4.0
11,1,CHAPULTEPEC,5.0,4.0
11,1,MARIANO OTERO,3.0,3.0
12,1,NIÑOS HEROES,4.0,3.0
12,1,MÉXICO,4.0,3.0
12,1,RUBEN DARIO,3.0,2.0
12,1,GUADALUPE,5.0,5.0
