avenida,insight_detectado,forma
ADOLF HORN,buena opción,1
ADOLF HORN,poca competencia,2
AMERICAS,buena opción,1
AMERICAS,buena zona,1
CHAPULTEPEC,buena opción,1
CLOUTHIER,buena opción,2
COPERNICO,buena opción,2
GUADALUPE,buena opción,1
JUAN GIL PRECIADO,buena opción,2
JUAN GIL PRECIADO,buena zona,2
JUAREZ,buena opción,1
MARIANO OTERO,buena opción,1
MONTEVIDEO,buena opción,1
MONTEVIDEO,buena zona,1
NIÑOS HEROES,buena opción,1
PABLO NERUDA,buena opción,1
PABLO NERUDA,buena zona,1
PERIFERICO SUR,poca competencia,1
RAFAEL SANZIO,buena opción,1
RAFAEL SANZIO,buena opción,2
SERVIDOR PUBLICO,buena opción,2
TEPEYAC,buena opción,1
VALLE IMPERIAL,buena zona,2
