avenida,n_total,n_calidad,calidad_media,n_saturacion,saturacion_media,conocimiento_pct,score_humano
8 DE JULIO,25,20,3.25,20,3.6,80.0,5.3
ACUEDUCTO,25,23,3.869565217391304,23,3.5652173913043477,92.0,6.9339130434782605
ALCALDE,25,22,3.227272727272727,22,3.1818181818181817,88.0,5.912727272727272
AMERICAS,25,24,3.7916666666666665,23,3.9130434782608696,96.0,6.550289855072464
AVIACION,25,25,3.48,25,3.16,100.0,6.8
BASE AEREA,25,25,3.12,24,3.0416666666666665,100.0,6.198333333333334
CHAPULTEPEC,25,25,4.28,25,4.36,100.0,7.2
COLON,25,21,3.238095238095238,18,3.7222222222222223,84.0,5.273968253968254
CRUZ DEL SUR,25,18,3.1666666666666665,19,3.1578947368421053,72.0,5.335438596491228
FEDERALISMO,25,24,3.2083333333333335,24,3.4583333333333335,96.0,5.838333333333333
GUADALUPE,25,24,4.083333333333333,24,3.875,96.0,7.171666666666666
INDEPENDENCIA,25,22,3.3181818181818183,22,3.272727272727273,88.0,6.003636363636364
JUAN GIL PRECIADO,25,22,3.6363636363636362,20,3.45,88.0,6.462727272727272
JUAREZ,25,23,3.1739130434782608,21,3.6666666666666665,92.0,5.441159420289855
LAZARO CARDENAS,25,23,3.4782608695652173,22,3.772727272727273,92.0,5.943794466403162
LOPEZ MATEOS,25,25,3.76,25,3.88,100.0,6.64
MARIANO OTERO,25,25,3.6,24,3.2916666666666665,100.0,6.908333333333333
MÉXICO,25,23,4.0,23,3.391304347826087,92.0,7.368695652173913
NIÑOS HEROES,25,24,3.5,24,3.4166666666666665,96.0,6.463333333333333
PABLO NERUDA,25,20,3.7,21,3.3333333333333335,80.0,6.466666666666667
PATRIA,25,25,4.16,24,3.7083333333333335,100.0,7.611666666666666
RAFAEL SANZIO,25,22,4.181818181818182,22,3.590909090909091,88.0,7.412727272727272
REVOLUCION,25,21,3.3333333333333335,21,3.5714285714285716,84.0,5.615238095238095
RIO NILO,25,19,3.210526315789474,18,3.3333333333333335,76.0,5.367719298245614
RUBEN DARIO,25,21,3.4285714285714284,22,3.1363636363636362,84.0,6.2407792207792205
SANTA MARGARITA,25,24,3.5833333333333335,24,3.7083333333333335,96.0,6.338333333333333
SERVIDOR PUBLICO,25,23,3.8260869565217392,23,3.4347826086956523,92.0,6.977391304347826
TEPEYAC,25,22,3.590909090909091,20,2.9,88.0,6.921818181818181
TERRANOVA,25,22,3.4545454545454546,21,3.3333333333333335,88.0,6.215757575757575
VALLARTA,25,24,4.208333333333333,23,3.5217391304347827,96.0,7.774927536231883
